run_tag,source_file,solution_id,anchor_date,observed,model_cum,ratio_model_over_observed,replayed,note
boundprofile_baseline_R01.5_s1,bound_profile_i600.csv,baseline|R0=1.5|start=1,2025-07-26,4208.0,2198.5,0.522,True,scope=shunde; early_anchor_in_calib=yes; th_anchor(multistart start 1) + archived 8 free params; ode_zone_seeded; R0 replay ok (1.500)
boundprofile_baseline_R01.5_s1,bound_profile_i600.csv,baseline|R0=1.5|start=1,2025-07-19,1873.0,2219.7,1.185,True,scope=city; early_anchor_in_calib=yes; th_anchor(multistart start 1) + archived 8 free params; ode_zone_seeded; R0 replay ok (1.500)
boundprofile_baseline_R01.5_s1,bound_profile_i600.csv,baseline|R0=1.5|start=1,2025-07-21,2659.0,2388.9,0.898,True,scope=city; early_anchor_in_calib=yes; th_anchor(multistart start 1) + archived 8 free params; ode_zone_seeded; R0 replay ok (1.500)
boundprofile_baseline_R01.5_s1,bound_profile_i600.csv,baseline|R0=1.5|start=1,2025-07-22,3195.0,2481.4,0.777,True,scope=city; early_anchor_in_calib=yes; th_anchor(multistart start 1) + archived 8 free params; ode_zone_seeded; R0 replay ok (1.500)
boundprofile_baseline_R01.5_s1,bound_profile_i600.csv,baseline|R0=1.5|start=1,2025-07-24,4014.0,2679.5,0.668,True,scope=city; early_anchor_in_calib=yes; th_anchor(multistart start 1) + archived 8 free params; ode_zone_seeded; R0 replay ok (1.500)
boundprofile_baseline_R01.5_s1,bound_profile_i600.csv,baseline|R0=1.5|start=1,2025-07-26,4754.0,2891.8,0.608,True,scope=city; early_anchor_in_calib=yes; th_anchor(multistart start 1) + archived 8 free params; ode_zone_seeded; R0 replay ok (1.500)
boundprofile_baseline_R01.5_s1,bound_profile_i600.csv,baseline|R0=1.5|start=1,2025-08-02,7524.0,3702.3,0.492,True,scope=city; early_anchor_in_calib=yes; th_anchor(multistart start 1) + archived 8 free params; ode_zone_seeded; R0 replay ok (1.500)
boundprofile_baseline_R01.5_s1,bound_profile_i600.csv,baseline|R0=1.5|start=1,2025-08-09,8736.0,4559.4,0.522,True,scope=city; early_anchor_in_calib=yes; th_anchor(multistart start 1) + archived 8 free params; ode_zone_seeded; R0 replay ok (1.500)
boundprofile_baseline_R02_s2,bound_profile_i600.csv,baseline|R0=2|start=2,2025-07-15,478.0,521.8,1.092,True,scope=shunde; early_anchor_in_calib=yes; th_anchor(multistart start 2) + archived 8 free params; ode_zone_seeded; R0 replay ok (2.000)
boundprofile_baseline_R02_s2,bound_profile_i600.csv,baseline|R0=2|start=2,2025-07-18,1161.0,671.9,0.579,True,scope=shunde; early_anchor_in_calib=yes; th_anchor(multistart start 2) + archived 8 free params; ode_zone_seeded; R0 replay ok (2.000)
boundprofile_baseline_R02_s2,bound_profile_i600.csv,baseline|R0=2|start=2,2025-07-19,1790.0,738.7,0.413,True,scope=shunde; early_anchor_in_calib=yes; th_anchor(multistart start 2) + archived 8 free params; ode_zone_seeded; R0 replay ok (2.000)
